[Thu Jun 18 17:50:26.188965 2020] [mpm_prefork:notice] [pid 23] AH00163: Apache/2.4.29 (Ubuntu) configured -- resuming normal operations
[Thu Jun 18 17:50:26.189180 2020] [core:notice] [pid 23] AH00094: Command line: '/usr/sbin/apache2'
[Fri Jun 19 14:11:34.260352 2020] [php7:warn] [pid 29] [client 172.19.0.1:52662] PHP Warning:  mysqli::query(): Empty query in /var/www/html/index.php on line 51, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:11:48.160460 2020] [php7:notice] [pid 37] [client 172.19.0.1:52668] PHP Notice:  Undefined variable: POST in /var/www/html/index.php on line 26, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:11:48.162973 2020] [php7:warn] [pid 37] [client 172.19.0.1:52668] PHP Warning:  A non-numeric value encountered in /var/www/html/index.php on line 47, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:11:48.163073 2020] [php7:warn] [pid 37] [client 172.19.0.1:52668] PHP Warning:  A non-numeric value encountered in /var/www/html/index.php on line 47, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:11:48.163105 2020] [php7:warn] [pid 37] [client 172.19.0.1:52668] PHP Warning:  A non-numeric value encountered in /var/www/html/index.php on line 47, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:11:48.163136 2020] [php7:warn] [pid 37] [client 172.19.0.1:52668] PHP Warning:  A non-numeric value encountered in /var/www/html/index.php on line 47, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:11:48.163171 2020] [php7:notice] [pid 37] [client 172.19.0.1:52668] PHP Notice:  Undefined variable: sql in /var/www/html/index.php on line 51, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:11:48.163216 2020] [php7:warn] [pid 37] [client 172.19.0.1:52668] PHP Warning:  mysqli::query(): Empty query in /var/www/html/index.php on line 51, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:11:59.298307 2020] [php7:notice] [pid 30] [client 172.19.0.1:52674] PHP Notice:  Undefined variable: POST in /var/www/html/index.php on line 26, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:11:59.300617 2020] [php7:warn] [pid 30] [client 172.19.0.1:52674] PHP Warning:  A non-numeric value encountered in /var/www/html/index.php on line 47, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:11:59.300700 2020] [php7:warn] [pid 30] [client 172.19.0.1:52674] PHP Warning:  A non-numeric value encountered in /var/www/html/index.php on line 47, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:11:59.300729 2020] [php7:warn] [pid 30] [client 172.19.0.1:52674] PHP Warning:  A non-numeric value encountered in /var/www/html/index.php on line 47, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:11:59.300758 2020] [php7:warn] [pid 30] [client 172.19.0.1:52674] PHP Warning:  A non-numeric value encountered in /var/www/html/index.php on line 47, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:11:59.300790 2020] [php7:notice] [pid 30] [client 172.19.0.1:52674] PHP Notice:  Undefined variable: sql in /var/www/html/index.php on line 51, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:11:59.300861 2020] [php7:warn] [pid 30] [client 172.19.0.1:52674] PHP Warning:  mysqli::query(): Empty query in /var/www/html/index.php on line 51, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:12:12.519514 2020] [php7:notice] [pid 35] [client 172.19.0.1:52680] PHP Notice:  Undefined variable: POST in /var/www/html/index.php on line 26, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:12:12.522413 2020] [php7:warn] [pid 35] [client 172.19.0.1:52680] PHP Warning:  A non-numeric value encountered in /var/www/html/index.php on line 47, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:12:12.522524 2020] [php7:warn] [pid 35] [client 172.19.0.1:52680] PHP Warning:  A non-numeric value encountered in /var/www/html/index.php on line 47, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:12:12.522552 2020] [php7:warn] [pid 35] [client 172.19.0.1:52680] PHP Warning:  A non-numeric value encountered in /var/www/html/index.php on line 47, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:12:12.522622 2020] [php7:warn] [pid 35] [client 172.19.0.1:52680] PHP Warning:  A non-numeric value encountered in /var/www/html/index.php on line 47, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:12:12.522663 2020] [php7:notice] [pid 35] [client 172.19.0.1:52680] PHP Notice:  Undefined variable: sql in /var/www/html/index.php on line 52, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:12:12.522753 2020] [php7:warn] [pid 35] [client 172.19.0.1:52680] PHP Warning:  mysqli::query(): Empty query in /var/www/html/index.php on line 52, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:12:13.660425 2020] [php7:notice] [pid 38] [client 172.19.0.1:52698] PHP Notice:  Undefined variable: POST in /var/www/html/index.php on line 26, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:12:13.662613 2020] [php7:warn] [pid 38] [client 172.19.0.1:52698] PHP Warning:  A non-numeric value encountered in /var/www/html/index.php on line 47, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:12:13.662678 2020] [php7:warn] [pid 38] [client 172.19.0.1:52698] PHP Warning:  A non-numeric value encountered in /var/www/html/index.php on line 47, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:12:13.662722 2020] [php7:warn] [pid 38] [client 172.19.0.1:52698] PHP Warning:  A non-numeric value encountered in /var/www/html/index.php on line 47, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:12:13.662746 2020] [php7:warn] [pid 38] [client 172.19.0.1:52698] PHP Warning:  A non-numeric value encountered in /var/www/html/index.php on line 47, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:12:13.662774 2020] [php7:notice] [pid 38] [client 172.19.0.1:52698] PHP Notice:  Undefined variable: sql in /var/www/html/index.php on line 52, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:12:13.662826 2020] [php7:warn] [pid 38] [client 172.19.0.1:52698] PHP Warning:  mysqli::query(): Empty query in /var/www/html/index.php on line 52, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:12:30.784483 2020] [php7:notice] [pid 28] [client 172.19.0.1:52704] PHP Notice:  Undefined variable: POST in /var/www/html/index.php on line 26, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:12:30.787121 2020] [php7:warn] [pid 28] [client 172.19.0.1:52704] PHP Warning:  A non-numeric value encountered in /var/www/html/index.php on line 47, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:12:30.787225 2020] [php7:warn] [pid 28] [client 172.19.0.1:52704] PHP Warning:  A non-numeric value encountered in /var/www/html/index.php on line 47, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:12:30.787267 2020] [php7:warn] [pid 28] [client 172.19.0.1:52704] PHP Warning:  A non-numeric value encountered in /var/www/html/index.php on line 47, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:12:30.787297 2020] [php7:warn] [pid 28] [client 172.19.0.1:52704] PHP Warning:  A non-numeric value encountered in /var/www/html/index.php on line 47, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:12:30.787329 2020] [php7:notice] [pid 28] [client 172.19.0.1:52704] PHP Notice:  Undefined variable: conn in /var/www/html/index.php on line 49, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:12:30.787429 2020] [php7:error] [pid 28] [client 172.19.0.1:52704] PHP Fatal error:  Uncaught Error: Call to a member function query() on null in /var/www/html/index.php:49\nStack trace:\n#0 /var/www/html/index.php(42): login('username', 'password')\n#1 {main}\n  thrown in /var/www/html/index.php on line 49, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:12:42.025359 2020] [php7:notice] [pid 30] [client 172.19.0.1:52722] PHP Notice:  Undefined variable: POST in /var/www/html/index.php on line 26, referer: http://127.0.0.1:4444/index.php
